Private Rental Market Statistics ,,,,,,
Table 1.2: Summary of monthly rents recorded between January 2021 and December 2021 by borough and bedroom category for London,,,,,,
,,,,,,
,,,,,,
"These statistics are not comparable with the Office for National Statistics’ Official Statistics releases on the private rental market. Both use the Valuation Office Agency's data collected by Rent Officers from landlords and letting agents, however, the sample and methodology used to produce the figures is not the same.",,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Table notes and footnotes,,,Back to contents,,,
,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room,10,631,367,542,751
Barking and Dagenham,Studio,10,745,730,740,750
Barking and Dagenham,One Bedroom,230,991,900,"1,000","1,050"
Barking and Dagenham,Two Bedrooms,400,"1,214","1,150","1,200","1,300"
Barking and Dagenham,Three Bedrooms,250,"1,433","1,350","1,400","1,500"
Barking and Dagenham,Four or More Bedrooms,40,"1,738","1,550","1,700","1,900"
Barnet,Room,20,573,498,592,642
Barnet,Studio,140,914,800,900,"1,000"
Barnet,One Bedroom,590,"1,142","1,050","1,150","1,250"
Barnet,Two Bedrooms,"1,160","1,400","1,300","1,400","1,500"
Barnet,Three Bedrooms,360,"1,809","1,600","1,800","1,950"
Barnet,Four or More Bedrooms,170,"2,453","2,045","2,388","2,800"
Bexley,Room,10,479,392,450,542
Bexley,Studio,20,775,725,750,800
Bexley,One Bedroom,190,931,875,904,"1,000"
Bexley,Two Bedrooms,350,"1,201","1,100","1,200","1,250"
Bexley,Three Bedrooms,230,"1,418","1,300","1,400","1,500"
Bexley,Four or More Bedrooms,70,"1,918","1,700","1,925","2,100"
Brent,Room,60,565,477,550,650
Brent,Studio,120,872,750,850,950
Brent,One Bedroom,330,"1,174","1,050","1,150","1,250"
Brent,Two Bedrooms,560,"1,430","1,300","1,400","1,525"
Brent,Three Bedrooms,420,"1,789","1,650","1,750","1,900"
Brent,Four or More Bedrooms,180,"2,169","1,900","2,100","2,400"
Bromley,Room,10,620,560,600,607
Bromley,Studio,50,814,750,800,850
